trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.768,0.8528383846389898,26.0,0.618,0.7642604529937285,20.0
1,0.768,0.8728790256235105,26.0,0.733,0.8392678525308521,20.0
2,0.7855,0.8906826250193157,24.0,0.7195,0.8497907433212105,20.0
3,0.754,0.8859982988618978,21.0,0.7095,0.8320313020736746,20.0
4,0.8355,0.9022357494798416,23.0,0.735,0.8484854924267111,20.0
Average,0.7822,0.8809268167247112,24.0,0.7030000000000001,0.8267671686692353,20.0
