trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.808,0.8566460780167982,11.0,0.844,0.8739163011428069,10.0
1,0.778,0.8976793231324687,13.0,0.747,0.8384488309810658,10.0
2,0.717,0.8445680268922366,10.0,0.802,0.876944323987124,10.0
3,0.775,0.881303921275633,10.0,0.775,0.823934162826761,10.0
4,0.824,0.8929942889217245,14.0,0.77,0.79557860635751,10.0
Average,0.7804,0.8746383276477723,11.6,0.7876,0.8417644450590537,10.0
