trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.807,0.8963587678511723,11.0,0.862,0.8671746411092406,10.0
1,0.793,0.8873403256371628,12.0,0.759,0.7923118946806921,10.0
2,0.867,0.9022135565981814,10.0,0.835,0.8587229918328113,10.0
3,0.876,0.8781953916964831,10.0,0.827,0.8635219322028815,10.0
4,0.722,0.7893650180501897,11.0,0.709,0.7871311865817064,10.0
Average,0.813,0.8706946119666379,10.8,0.7984,0.8337725292814664,10.0
