trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.7503333333333333,0.8521721258147444,32.0,0.7563333333333333,0.8167800735926701,30.0
1,0.7276666666666667,0.845506023894114,34.0,0.7653333333333333,0.8198763996418758,30.0
2,0.654,0.813604119897483,27.0,0.7013333333333334,0.7970107592322252,30.0
3,0.6953333333333334,0.8145085899101074,31.0,0.673,0.7624258256168912,30.0
4,0.7293333333333333,0.8295378816374461,32.0,0.6523333333333333,0.7584051218046394,30.0
Average,0.7113333333333334,0.831065748230779,31.2,0.7096666666666667,0.7908996359776603,30.0
