Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,740,155,41,10,4.0
2,755,157,42,7,
3,751,150,41,6,
4,745,136,34,7,2.0
5,755,146,38,9,3.0
6,756,141,42,9,3.0
7,755,145,37,7,2.0
8,757,147,35,6,
9,761,151,38,8,2.0
10,755,149,36,9,3.0
11,752,142,38,10,3.0
12,757,155,44,9,3.0
13,758,147,42,7,2.0
14,764,148,37,8,2.0
15,756,157,41,7,3.0
16,758,150,42,11,2.0
17,753,146,37,7,3.0
18,755,149,40,7,2.0
19,755,148,41,8,2.0
20,754,147,37,7,2.0
21,764,142,36,6,
22,757,152,37,7,2.0
23,761,152,36,9,2.0
24,758,150,39,9,2.0
25,757,150,39,8,3.0
26,758,149,36,7,2.0
27,762,147,37,8,3.0
28,764,147,39,8,2.0
29,763,148,43,9,2.0
30,763,153,41,8,2.0
31,761,152,40,9,2.0
32,755,149,35,7,3.0
33,756,151,37,6,2.0
34,767,151,37,8,2.0
35,766,153,41,8,
36,755,150,38,7,2.0
37,759,145,33,7,2.0
38,767,149,37,9,3.0
39,759,147,37,9,3.0
40,769,142,38,7,
41,756,155,39,6,2.0
42,757,153,39,7,2.0
43,761,145,34,8,2.0
44,762,148,38,6,
45,768,149,45,8,2.0
46,763,146,37,5,
47,770,159,34,6,3.0
48,765,148,40,7,2.0
49,759,150,38,8,2.0
50,765,147,37,7,3.0
