Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,415,93,23,8,2.0
2,411,89,20,7,2.0
3,410,85,25,7,
4,412,84,24,8,2.0
5,414,90,24,7,2.0
6,420,92,23,8,2.0
7,428,84,23,7,2.0
8,411,92,24,7,2.0
9,410,91,22,7,
10,410,87,23,8,2.0
11,411,80,22,7,
12,404,88,22,6,
13,399,78,23,6,
14,391,85,22,7,2.0
15,402,88,20,6,
16,408,90,21,8,2.0
17,400,85,20,6,2.0
18,407,89,23,7,
19,405,84,20,5,
20,404,90,23,6,
21,402,90,22,7,
22,407,89,22,7,
23,401,90,20,6,2.0
24,413,91,24,6,2.0
25,406,86,21,7,
26,402,85,23,7,3.0
27,406,86,22,8,
28,404,90,23,8,2.0
29,406,84,22,6,
30,407,82,19,6,
31,404,89,20,6,
32,401,88,21,7,
33,404,84,24,8,
34,406,87,22,7,2.0
35,404,83,22,7,2.0
36,405,87,21,7,
37,401,88,23,6,
38,403,86,21,6,2.0
39,401,88,20,7,2.0
40,403,79,21,7,2.0
41,405,84,20,4,
42,404,84,20,6,
43,405,87,22,6,
44,404,89,22,6,
45,403,89,21,7,
46,403,88,20,6,2.0
47,406,91,20,6,
48,405,90,22,7,2.0
49,403,89,22,7,
50,400,88,22,6,
