Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,604,121,34,8,2.0
2,598,125,34,9,3.0
3,625,135,36,12,4.0
4,632,140,32,7,2.0
5,625,121,34,8,2.0
6,635,128,36,10,2.0
7,627,131,32,9,3.0
8,634,140,34,10,2.0
9,632,130,30,7,
10,618,135,32,7,
11,628,134,30,8,
12,628,135,31,8,2.0
13,617,127,30,8,
14,612,130,32,7,
15,619,134,30,7,
16,619,128,30,7,2.0
17,618,128,29,7,
18,623,132,36,11,2.0
19,614,137,32,8,
20,621,128,30,7,2.0
21,617,126,31,8,2.0
22,617,129,34,12,3.0
23,613,124,30,9,2.0
24,618,134,30,8,2.0
25,621,135,29,11,
26,623,134,34,9,
27,621,133,33,10,2.0
28,622,127,34,8,2.0
29,625,131,32,8,
30,616,137,32,7,2.0
31,622,136,35,9,3.0
32,621,136,33,9,2.0
33,617,130,31,9,2.0
34,614,130,29,5,
35,619,128,30,8,
36,619,137,32,10,2.0
37,614,134,29,7,
38,619,133,32,8,
39,617,141,34,9,2.0
40,616,131,33,8,2.0
41,618,131,32,8,3.0
42,619,131,30,6,2.0
43,617,121,29,7,2.0
44,617,129,33,9,2.0
45,619,127,31,9,2.0
46,619,124,25,7,
47,623,137,34,8,2.0
48,623,134,33,7,
49,614,122,33,10,2.0
50,616,135,34,10,2.0
