Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,393,86,22,6,
2,392,78,22,6,2.0
3,409,86,21,4,
4,399,87,26,8,
5,403,82,25,6,
6,393,82,21,6,2.0
7,397,93,29,7,2.0
8,392,77,21,6,
9,406,90,24,8,2.0
10,400,88,23,7,
11,399,86,19,6,
12,399,85,22,6,
13,396,87,23,6,2.0
14,400,81,24,6,
15,398,90,27,8,2.0
16,401,85,28,11,2.0
17,399,84,23,7,2.0
18,400,85,21,7,2.0
19,398,88,25,8,2.0
20,396,91,26,9,2.0
21,395,83,24,6,
22,394,85,23,8,2.0
23,397,92,25,10,2.0
24,395,89,22,6,3.0
25,398,85,24,8,2.0
26,402,86,24,8,2.0
27,395,85,25,7,2.0
28,398,85,26,8,2.0
29,396,85,25,7,
30,398,82,22,4,
31,400,85,22,6,2.0
32,397,88,25,8,2.0
33,400,94,25,9,2.0
34,403,87,24,8,2.0
35,396,85,21,6,2.0
36,400,87,22,7,2.0
37,397,90,27,10,2.0
38,399,84,26,9,3.0
39,399,82,23,6,
40,401,90,24,5,2.0
41,403,91,22,5,2.0
42,400,87,24,6,
43,396,82,23,7,2.0
44,401,85,25,8,
45,399,88,22,7,2.0
46,398,88,24,8,2.0
47,397,84,24,7,2.0
48,398,93,27,9,2.0
49,399,96,24,7,2.0
50,396,82,26,8,2.0
