Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,413,91,24,9,
2,422,94,24,7,2.0
3,414,89,22,7,
4,422,97,25,7,
5,416,92,23,6,
6,409,95,26,8,
7,414,90,21,6,
8,413,88,24,8,
9,417,96,25,8,2.0
10,414,87,22,8,2.0
11,417,94,24,6,
12,418,95,24,8,
13,417,89,20,6,
14,408,92,25,6,2.0
15,411,93,23,9,
16,417,87,23,7,
17,416,94,21,7,
18,419,91,24,6,
19,413,92,25,7,
20,414,91,21,7,
21,413,84,22,6,
22,414,96,23,7,
23,418,95,25,7,
24,409,90,25,8,2.0
25,412,85,23,8,
26,412,89,22,5,
27,413,88,22,6,
28,412,93,25,7,
29,414,86,23,6,
30,413,90,24,7,
31,404,83,22,6,
32,409,88,25,7,2.0
33,409,94,22,5,
34,410,90,26,7,2.0
35,410,93,24,7,2.0
36,412,93,25,9,2.0
37,411,87,23,7,2.0
38,415,87,26,7,
39,413,79,23,9,2.0
40,412,90,21,6,2.0
41,414,90,24,7,
42,416,87,22,6,
43,411,95,26,7,2.0
44,409,86,24,6,
45,410,94,26,7,
46,411,86,22,6,
47,409,88,24,8,2.0
48,414,92,23,6,
49,414,89,25,7,
50,412,87,22,6,
