Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,392,80,19,5,
2,390,86,24,8,2.0
3,395,80,21,6,
4,401,86,25,5,
5,398,77,20,3,
6,401,89,26,7,2.0
7,408,80,23,5,2.0
8,416,86,24,4,2.0
9,413,89,21,3,
10,413,90,22,4,
11,411,92,22,3,
12,397,89,23,4,
13,399,86,23,6,2.0
14,400,82,20,5,
15,398,87,25,5,2.0
16,397,84,23,5,2.0
17,401,79,23,4,
18,399,82,21,4,
19,394,81,22,4,2.0
20,386,83,22,3,
21,391,86,22,4,
22,391,92,21,6,
23,398,92,24,4,
24,390,88,22,5,
25,394,86,24,4,2.0
26,389,85,22,3,
27,393,90,24,5,
28,390,83,21,4,
29,391,89,21,4,
30,395,82,22,5,2.0
31,395,84,22,4,2.0
32,393,85,23,7,
33,392,83,20,3,
34,390,84,21,4,2.0
35,396,86,19,4,2.0
36,393,88,22,4,
37,391,87,21,4,
38,396,88,21,4,
39,394,90,23,6,2.0
40,393,77,18,4,
41,393,84,20,4,
42,388,90,21,6,
43,395,90,24,6,
44,392,90,24,6,2.0
45,390,87,20,5,2.0
46,393,86,22,3,
47,392,86,23,5,
48,394,90,21,5,
49,395,88,20,5,2.0
50,392,84,21,4,
