Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5
1,200,45,12,3,,
2,202,44,13,4,3.0,
3,204,44,12,3,2.0,
4,196,44,11,2,,
5,207,47,13,5,3.0,2.0
6,202,44,10,2,,
7,197,41,11,2,,
8,201,46,8,2,,
9,202,42,9,2,,
10,204,44,12,4,,
11,210,40,13,5,,
12,210,44,14,7,2.0,
13,211,45,10,2,,
14,212,44,11,4,,
15,212,45,11,5,3.0,2.0
16,207,40,9,3,2.0,
17,205,43,11,4,,
18,207,39,12,4,,
19,201,38,10,3,,
20,201,37,9,4,,
21,201,39,10,3,,
22,202,39,12,4,,
23,203,39,9,4,,
24,202,41,13,5,,
25,199,42,11,3,,
26,203,42,11,4,2.0,
27,200,40,12,3,,
28,197,39,12,3,,
29,202,43,13,4,,
30,199,43,13,4,,
31,197,40,11,3,,
32,196,41,12,3,,
33,196,41,12,3,,
34,196,41,12,3,,
35,196,41,12,3,,
36,196,41,12,3,,
37,196,41,12,3,,
38,196,41,12,3,,
39,196,41,12,3,,
40,196,41,12,3,,
41,196,41,12,3,,
42,196,41,12,3,,
43,196,41,12,3,,
44,196,41,12,3,,
45,196,41,12,3,,
46,196,41,12,3,,
47,196,41,12,3,,
48,196,41,12,3,,
49,196,41,12,3,,
50,196,41,12,3,,
