Epoch,Loss,FINCH_ACC,FINCH_NMI,FINCH_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Clusters
1,0.6216596308071166,0.788,0.8693627662744398,24,0.8175,0.8490689804337446,20
2,0.1432800343807321,0.813,0.869115240638747,24,0.861,0.8577853593670044,20
3,0.11814942244556732,0.8105,0.8750347170378786,22,0.796,0.841777719548203,20
4,0.08178511641410297,0.773,0.8612565468477068,25,0.797,0.8211283820066806,20
5,0.11591591993692418,0.7435,0.8679023863725108,23,0.832,0.8467307316499291,20
6,0.08230101414066666,0.757,0.8544573893109169,26,0.8355,0.8340072286942831,20
7,0.028972914735004452,0.7595,0.8594935974656278,21,0.807,0.837707224328396,20
8,0.0032395188874716043,0.7475,0.8647181490910922,24,0.819,0.8356740000206512,20
9,0.00047124402260635635,0.6995,0.846119741917279,25,0.6955,0.7989908696534608,20
10,0.0002423165596025001,0.731,0.856549329138926,22,0.769,0.8208465720276147,20
11,0.00017145354841602512,0.803,0.8683098810410395,24,0.7805,0.8285385115746526,20
12,0.0001388336408217583,0.777,0.8749478822197335,24,0.7865,0.8219489593620606,20
13,0.00011580967118817398,0.777,0.8810460643092339,20,0.816,0.8342298515471166,20
14,9.877517303095828e-05,0.7805,0.8671930477456181,25,0.733,0.8012946506806295,20
15,8.45100134242216e-05,0.685,0.8513834045929137,23,0.776,0.8169348107130542,20
16,7.248584732863606e-05,0.7695,0.8597167083051498,23,0.776,0.8197744829638665,20
17,6.355118430036555e-05,0.784,0.8905616085732805,21,0.776,0.8197744829638665,20
18,5.5918861154964363e-05,0.7545,0.8706553176173699,24,0.8135,0.8438099473208155,20
19,4.9381469478646524e-05,0.721,0.8527404605646641,25,0.8125,0.8420621920910139,20
20,4.3268392995798874e-05,0.8065,0.8833076974862469,21,0.8265,0.8403683549670614,20
21,3.8990454399936424e-05,0.7695,0.8562775613411346,22,0.818,0.8411632386982243,20
22,3.4372667603221886e-05,0.7145,0.8537342088513649,23,0.779,0.8291067400222718,20
23,3.062336147451106e-05,0.784,0.8675642027284319,25,0.779,0.8275952041153385,20
24,2.7540368902236877e-05,0.7435,0.8626679239489891,25,0.7785,0.8291995412524164,20
25,2.4762275754426354e-05,0.716,0.848942630478222,23,0.835,0.8430181443331807,20
26,2.234268469351264e-05,0.816,0.8745101842482715,22,0.832,0.8409247779659147,20
27,1.9957114697426448e-05,0.814,0.8663357035232917,22,0.8325,0.8438224128207541,20
28,1.7964948138100566e-05,0.799,0.8741033073295177,25,0.813,0.8417446311575149,20
29,1.6396521439219213e-05,0.779,0.8705323872644476,23,0.812,0.8406553855521823,20
30,1.4654860145810743e-05,0.7635,0.8679723924606614,24,0.813,0.8417446311575149,20
31,1.323583574528442e-05,0.814,0.8698089762548619,22,0.813,0.8417446311575149,20
32,1.204222984377168e-05,0.7695,0.862347679147011,25,0.734,0.8116695383323845,20
33,1.0787975496810986e-05,0.7815,0.8645462656059238,22,0.8215,0.8418658716060421,20
34,9.916024653477962e-06,0.7535,0.8581418236177812,26,0.8455,0.8510535868174455,20
35,9.001386871716477e-06,0.795,0.8703460428834049,24,0.849,0.8523807330886211,20
36,8.082349148139655e-06,0.747,0.8505018817564154,25,0.7725,0.8350930731116034,20
37,7.304672731329731e-06,0.727,0.8564880040837126,23,0.77,0.8295362502135866,20
38,6.7251207817164985e-06,0.772,0.8654823830228143,26,0.769,0.8282600540425059,20
39,6.0552462515772735e-06,0.763,0.8754351769258919,23,0.8375,0.8432732179100222,20
40,5.493624012800069e-06,0.6715,0.8379029674358751,21,0.8445,0.847176400322277,20
41,4.974548359086839e-06,0.7695,0.8638834773551751,24,0.846,0.8511903768983592,20
42,4.5350655811216004e-06,0.781,0.8625621600871818,22,0.846,0.848372186968496,20
43,4.1086526668365765e-06,0.742,0.8527054505288797,26,0.797,0.8381248098349635,20
44,3.6866412474267917e-06,0.742,0.8599143923819725,24,0.797,0.8381248098349635,20
45,3.34482694851701e-06,0.7645,0.8639939680028794,26,0.7205,0.8145833342049636,20
46,3.057358582800873e-06,0.822,0.866630883421116,22,0.8345,0.8424949071326863,20
47,2.7828128457851874e-06,0.7455,0.8685508236105025,24,0.834,0.8415256279886719,20
48,2.5323725517067962e-06,0.7555,0.8538656075529346,23,0.8345,0.8427919727544214,20
49,2.277050059245056e-06,0.768,0.8679385318549434,25,0.785,0.8137187829614997,20
50,2.070264849005632e-06,0.772,0.8650552713603894,22,0.785,0.8146618065924935,20
