Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5
1,760,161,43,9,3,
2,775,155,41,10,3,
3,809,171,43,10,2,
4,820,167,48,15,5,
5,811,177,45,12,5,2.0
6,803,163,44,12,2,
7,808,173,53,14,3,
8,812,178,48,14,5,2.0
9,802,172,45,14,4,
10,805,180,48,14,3,
11,806,168,45,14,5,2.0
12,802,173,54,13,4,
13,808,180,49,14,5,2.0
14,804,165,45,12,3,
15,806,175,47,13,3,
16,800,176,45,12,3,
17,801,171,50,14,5,
18,801,166,45,10,4,
19,801,177,47,12,3,
20,802,167,49,16,6,2.0
21,814,178,54,15,5,
22,806,177,50,16,5,2.0
23,814,172,46,13,5,
24,803,174,47,13,5,2.0
25,809,179,50,16,5,
26,815,179,44,11,4,
27,810,168,51,17,6,2.0
28,815,183,53,15,5,2.0
29,815,174,47,15,5,2.0
30,806,184,52,15,5,2.0
31,816,173,49,13,3,
32,810,169,46,14,3,
33,803,171,48,15,3,
34,814,172,50,14,5,
35,812,179,50,13,3,
36,804,180,50,12,3,
37,808,177,49,14,5,2.0
38,803,176,44,12,4,
39,816,170,51,13,4,2.0
40,811,173,48,12,4,
41,812,167,48,13,4,
42,815,175,50,14,4,
43,811,173,49,15,3,
44,806,169,49,14,4,
45,808,171,49,15,5,
46,806,175,48,14,4,
47,804,172,48,13,4,
48,816,175,50,14,5,2.0
49,813,170,47,13,4,
50,810,178,50,14,4,
