Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,773,173,44,13,3.0
2,755,157,41,11,
3,743,154,39,6,
4,748,144,42,9,3.0
5,753,158,39,9,2.0
6,747,160,43,10,2.0
7,743,160,40,9,2.0
8,750,156,44,11,2.0
9,740,157,43,9,3.0
10,744,157,39,8,2.0
11,740,154,40,9,3.0
12,749,158,39,8,2.0
13,743,150,40,8,2.0
14,749,160,41,9,
15,741,150,40,9,2.0
16,749,154,42,8,2.0
17,749,146,36,10,
18,743,164,40,9,
19,734,147,38,8,3.0
20,746,160,44,10,3.0
21,740,146,40,9,2.0
22,744,154,40,7,
23,744,155,43,10,3.0
24,751,161,41,8,2.0
25,747,155,39,10,2.0
26,746,149,38,6,2.0
27,739,153,43,7,
28,743,163,40,9,2.0
29,736,158,42,7,2.0
30,747,159,38,8,2.0
31,746,157,37,6,
32,739,154,39,8,2.0
33,742,150,39,8,2.0
34,746,163,44,6,
35,741,151,40,8,2.0
36,739,147,40,10,3.0
37,741,149,39,9,3.0
38,736,155,39,10,2.0
39,740,155,39,8,3.0
40,748,162,38,9,2.0
41,733,160,40,10,2.0
42,738,154,39,6,
43,738,154,40,9,3.0
44,738,158,38,9,3.0
45,744,165,42,9,2.0
46,744,155,42,8,3.0
47,744,152,36,8,
48,750,155,43,9,3.0
49,749,149,38,9,2.0
50,746,150,41,10,2.0
