Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,174,38,11,5.0,4.0
2,183,39,10,4.0,
3,185,37,10,3.0,
4,182,36,10,2.0,
5,180,38,10,3.0,
6,189,40,9,3.0,
7,190,39,8,2.0,
8,197,40,10,5.0,4.0
9,194,46,11,2.0,
10,195,42,12,3.0,
11,189,39,10,3.0,
12,187,38,8,3.0,
13,184,38,10,2.0,
14,188,40,11,,
15,188,40,11,2.0,
16,187,38,10,3.0,2.0
17,193,36,12,4.0,3.0
18,191,40,10,2.0,
19,191,39,11,3.0,2.0
20,191,39,12,3.0,
21,190,38,11,2.0,
22,189,38,11,2.0,
23,188,39,11,2.0,
24,189,38,10,,
25,185,38,9,2.0,
26,185,38,11,3.0,
27,186,39,9,2.0,
28,186,40,10,2.0,
29,184,37,9,3.0,
30,184,37,9,3.0,
31,185,38,9,3.0,
32,185,38,9,3.0,
33,185,38,9,3.0,
34,185,38,9,3.0,
35,185,38,9,3.0,
36,185,38,9,3.0,
37,185,38,9,3.0,
38,185,38,9,3.0,
39,185,38,9,3.0,
40,185,38,9,3.0,
41,185,38,9,3.0,
42,185,38,9,3.0,
43,185,38,9,3.0,
44,185,38,9,3.0,
45,185,38,9,3.0,
46,185,38,9,3.0,
47,185,38,9,3.0,
48,185,38,9,3.0,
49,185,38,9,3.0,
50,185,38,9,3.0,
