Epoch,Loss,FINCH_ACC,FINCH_NMI,FINCH_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Clusters
1,0.4720255737732826,0.6096666666666667,0.7899375398892234,30,0.661,0.7459443422279983,30
2,0.07319626974935671,0.687,0.7987244341277389,37,0.7236666666666667,0.7699568049156059,30
3,0.06589490308323402,0.7056666666666667,0.8007774784499154,35,0.6996666666666667,0.7562990703385043,30
4,0.03585868396861032,0.6703333333333333,0.7953234041086621,38,0.657,0.7279929025949362,30
5,0.005954602403318753,0.7053333333333334,0.8130387815572759,39,0.7426666666666667,0.7747661221330616,30
6,0.011317304951374525,0.6703333333333333,0.8007585011317686,40,0.7196666666666667,0.7650909975227331,30
7,0.0894125886910895,0.6603333333333333,0.768291829733546,27,0.732,0.7596170905648961,30
8,0.1490112293621665,0.699,0.8049225435644803,34,0.693,0.7369154535399493,30
9,0.07845031202977318,0.669,0.797256642573058,34,0.6556666666666666,0.7254344794056696,30
10,0.05464889505531514,0.693,0.7881790345410096,32,0.611,0.6968099507996711,30
11,0.05456381228598093,0.6183333333333333,0.7720930169951872,32,0.652,0.7159472194360887,30
12,0.0230238497164415,0.6393333333333333,0.7646285693765309,32,0.6513333333333333,0.7166491583096414,30
13,0.005361421680041813,0.6466666666666666,0.77503137310681,31,0.669,0.7113865343973674,30
14,0.0033924651735712185,0.658,0.7771198020323691,34,0.6616666666666666,0.7146954690923479,30
15,9.753541010084182e-05,0.6876666666666666,0.7934175298239899,34,0.644,0.7041834173794544,30
16,3.3664718168853774e-05,0.681,0.7841966238535341,32,0.6433333333333333,0.7045954417773204,30
17,2.69087961274323e-05,0.6903333333333334,0.7995943103449956,33,0.644,0.7048707235669721,30
18,2.3024411970091204e-05,0.701,0.8038099051590416,32,0.6446666666666667,0.7047565115580541,30
19,2.041492488520948e-05,0.7093333333333334,0.7990843954831531,34,0.646,0.7082407271563995,30
20,1.8437928298847588e-05,0.653,0.7850052242211495,30,0.646,0.7082407271563995,30
21,1.680890863569748e-05,0.7123333333333334,0.799835252290994,30,0.645,0.7068228142612358,30
22,1.5459971441716394e-05,0.6596666666666666,0.7903723091219124,35,0.6453333333333333,0.7077224236670806,30
23,1.434756940903512e-05,0.6623333333333333,0.7911021569504801,33,0.6813333333333333,0.7258754213767246,30
24,1.3372164782597613e-05,0.6586666666666666,0.7798081961383544,30,0.662,0.719164605953031,30
25,1.2446517023922965e-05,0.6206666666666667,0.7708889752729428,32,0.6706666666666666,0.7291890165738989,30
26,1.1614002139485416e-05,0.654,0.7866961979374831,30,0.6696666666666666,0.7277531320529673,30
27,1.0878193149988752e-05,0.6896666666666667,0.7876485731969871,33,0.6706666666666666,0.7268107748410784,30
28,1.0258127376350718e-05,0.6536666666666666,0.7769633867943387,29,0.6706666666666666,0.7268107748410784,30
29,9.639440990054553e-06,0.6736666666666666,0.7866818263166057,31,0.6256666666666667,0.6980869296923612,30
30,9.353514246301126e-06,0.656,0.7733280173603886,32,0.625,0.6976708451899027,30
31,8.424731218638408e-06,0.6893333333333334,0.7981858857171769,33,0.6246666666666667,0.698116092752323,30
32,7.937888136239804e-06,0.6916666666666667,0.7940267065861069,33,0.6243333333333333,0.6981078899911725,30
33,7.5172033403714735e-06,0.6736666666666666,0.7969793682056261,32,0.6273333333333333,0.6987001511790026,30
34,7.102562298956565e-06,0.7096666666666667,0.7912789388985378,30,0.6246666666666667,0.6978173854246773,30
35,6.808649594260684e-06,0.6396666666666667,0.7763499691444294,34,0.6246666666666667,0.6976626437145452,30
36,6.2634668944063e-06,0.664,0.7861848833321973,33,0.6246666666666667,0.6976626437145452,30
37,5.926203736969223e-06,0.6463333333333333,0.7905333208594374,34,0.6246666666666667,0.6976626437145452,30
38,5.567887992319171e-06,0.682,0.7856069780025057,31,0.6246666666666667,0.6976626437145452,30
39,5.272930642463863e-06,0.6363333333333333,0.7794145937236597,35,0.6246666666666667,0.6978956455080448,30
40,4.956010924626343e-06,0.612,0.7674357031211511,30,0.6246666666666667,0.6978173854246773,30
41,4.680705660938763e-06,0.6983333333333334,0.7872035403803335,32,0.6253333333333333,0.6979605752684369,30
42,4.416785941600691e-06,0.6776666666666666,0.781665525952478,35,0.628,0.6989272430392758,30
43,4.238647904142783e-06,0.6946666666666667,0.7937519407525429,32,0.6253333333333333,0.6980388300870285,30
44,3.94216578695093e-06,0.6656666666666666,0.780884448797202,33,0.6796666666666666,0.7191195874871409,30
45,3.795601753210542e-06,0.6896666666666667,0.7937239835367003,36,0.6793333333333333,0.7195376790712942,30
46,3.5139691167555207e-06,0.6736666666666666,0.7947019161622142,33,0.6796666666666666,0.7196348175856864,30
47,3.282050832304331e-06,0.6736666666666666,0.7947116829615343,33,0.6803333333333333,0.7199327481079968,30
48,3.099960418140313e-06,0.6773333333333333,0.8025863630143873,32,0.6466666666666666,0.7242746726552336,30
49,2.913550509417158e-06,0.6573333333333333,0.7927665516471917,30,0.6466666666666666,0.7242236482295756,30
50,2.7534290387902685e-06,0.592,0.7593178245388995,27,0.6496666666666666,0.7257488920723906,30
