Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,598,118,33,10,3.0
2,598,123,34,9,2.0
3,610,120,34,10,2.0
4,617,123,37,9,2.0
5,601,130,31,7,2.0
6,623,129,31,8,2.0
7,620,138,39,9,
8,618,129,34,7,2.0
9,618,134,34,10,4.0
10,607,137,37,8,
11,616,123,31,7,2.0
12,633,134,35,8,
13,621,135,37,12,4.0
14,614,135,35,7,
15,609,130,35,7,2.0
16,610,132,33,8,2.0
17,610,132,38,11,3.0
18,614,127,34,6,
19,612,132,37,9,
20,606,131,34,9,
21,607,127,35,9,
22,612,136,34,7,
23,614,132,32,8,
24,615,131,37,10,
25,613,131,37,9,2.0
26,607,129,35,6,
27,614,131,34,10,2.0
28,608,137,39,13,3.0
29,609,131,33,5,
30,607,136,35,8,
31,607,136,41,10,2.0
32,606,126,33,8,3.0
33,604,130,36,8,2.0
34,612,131,35,7,2.0
35,597,135,38,10,
36,607,131,32,7,2.0
37,616,135,31,6,
38,604,137,36,8,
39,605,121,34,8,2.0
40,607,129,34,7,2.0
41,605,134,34,7,
42,609,137,37,11,2.0
43,611,136,37,9,3.0
44,604,126,35,9,2.0
45,601,132,33,8,
46,615,131,35,8,2.0
47,609,135,38,8,2.0
48,609,121,35,10,2.0
49,609,132,37,8,
50,610,125,35,9,2.0
