Epoch,Loss,FINCH_ACC,FINCH_NMI,FINCH_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Clusters
1,0.6271019999518594,0.685,0.7580387393052912,12,0.741,0.7542734995403547,10
2,0.15549864424443485,0.676,0.7667024746678187,15,0.755,0.7571148607305945,10
3,0.11106619626056127,0.719,0.7350319315480679,13,0.802,0.7708996534001891,10
4,0.09609709624384756,0.702,0.7763572964655456,14,0.717,0.7396236315806859,10
5,0.0828944985807345,0.731,0.7670534539720277,9,0.747,0.7472267936277396,10
6,0.10903117044138252,0.638,0.6996930871493017,9,0.758,0.7320647163432892,10
7,0.08876037673863434,0.707,0.7461783680498021,11,0.75,0.7471710340164591,10
8,0.081884762277748,0.71,0.7535674657279352,10,0.753,0.7348576304878343,10
9,0.042278531844601515,0.684,0.7205130711885798,10,0.737,0.7239965274641482,10
10,0.021499938833669335,0.677,0.7289506698069806,13,0.713,0.7275398055741611,10
11,0.023882466120670232,0.659,0.73545593065515,11,0.746,0.7424515576799231,10
12,0.06012663637171001,0.75,0.7759145147170019,13,0.777,0.7265591178469029,10
13,0.12050706602755781,0.699,0.7538047778686913,11,0.744,0.7217188696836179,10
14,0.15896929048917782,0.747,0.7712180104244407,9,0.741,0.7261930178054293,10
15,0.020121529463398,0.697,0.7483110894042515,11,0.715,0.7210675690538807,10
16,0.024109627384582836,0.684,0.7358975121293295,10,0.732,0.7120818783729057,10
17,0.016134904566750766,0.685,0.7491100159297189,12,0.775,0.7333819977677859,10
18,0.03316125743173745,0.674,0.7504692299539137,11,0.735,0.7333490762226013,10
19,0.04879862066963726,0.768,0.7952384477510156,9,0.787,0.7342225180643562,10
20,0.013104514498796285,0.828,0.8122120192144051,10,0.776,0.7545875740644874,10
21,0.057781661997064276,0.782,0.7702964886454234,10,0.732,0.737268144206032,10
22,0.07890343126059264,0.738,0.7785025010419598,10,0.767,0.7415106424909902,10
23,0.05675975952899668,0.719,0.7555831646201332,10,0.759,0.7280665590083458,10
24,0.07605271328389107,0.705,0.7554719038679183,11,0.696,0.6956971371001844,10
25,0.06305319848292372,0.678,0.7418074750391567,8,0.719,0.7235637490631522,10
26,0.04489970791808104,0.662,0.7372859461298907,9,0.725,0.7068487890268623,10
27,0.011340416238259987,0.68,0.7461209383608121,8,0.726,0.7086893170036606,10
28,0.0003467436384138463,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
29,3.4252312225531796e-05,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
30,1.075303362083638e-05,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
31,8.319039431941425e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
32,6.869130006159376e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
33,5.8795270770344624e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
34,5.117656957553825e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
35,4.522531500281094e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
36,4.034012287808533e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
37,3.6210624788684222e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
38,3.265839642102438e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
39,2.9859083256872936e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
40,2.713785428731121e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
41,2.470936842034327e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
42,2.239809371435519e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
43,2.0460672589396016e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
44,1.88503802809773e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
45,1.712560173856325e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
46,1.5679542209274058e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
47,1.4370287503609776e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
48,1.3146569016661843e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
49,1.2023961664523046e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
50,1.10160748407379e-06,0.676,0.7420317298230009,8,0.724,0.7211734534258104,10
