Epoch,Loss,FINCH_ACC,FINCH_NMI,FINCH_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Clusters
1,0.5469954575924203,0.771,0.8552643045144186,23,0.7325,0.8192288428397968,20
2,0.13487459692056292,0.7345,0.8284624594323314,20,0.7595,0.812635327358772,20
3,0.09354262069566176,0.772,0.8321801895018759,21,0.7205,0.8041533332203318,20
4,0.047378871800247,0.7545,0.8316133343094367,27,0.723,0.8061029444870986,20
5,0.07384021671859956,0.7235,0.8164397410085138,21,0.6625,0.7717971511487154,20
6,0.18279208449172984,0.701,0.8353857716022676,25,0.761,0.8025168522678227,20
7,0.08070346677385913,0.7545,0.8524225345713242,21,0.704,0.7938109415345254,20
8,0.024941090622661193,0.7215,0.8201679524184654,22,0.73,0.8093451930562359,20
9,0.0019912420027903012,0.763,0.8294388508460251,20,0.789,0.8117109843336348,20
10,0.00015033177678843934,0.763,0.8440916774042343,21,0.7405,0.8070436373323928,20
11,8.165698491787055e-05,0.765,0.8360513248711344,23,0.8,0.8182696040934337,20
12,6.749624878032989e-05,0.7575,0.8300700889595509,18,0.8,0.8182696040934337,20
13,5.753062385494445e-05,0.7315,0.8314267480398029,21,0.8,0.8182696040934337,20
14,4.996144301784966e-05,0.7005,0.8239942342289495,20,0.8,0.8182696040934337,20
15,4.398610145166515e-05,0.752,0.848618833742021,19,0.8,0.8188920235504721,20
16,3.874254740441785e-05,0.741,0.8248897382655384,22,0.8,0.8182696040934337,20
17,3.4512364598411335e-05,0.661,0.8208459758667082,19,0.8,0.8182696040934337,20
18,3.071255781065929e-05,0.7585,0.8421485367833147,21,0.767,0.8109230537088921,20
19,2.7550311151749442e-05,0.7155,0.8232414818463072,21,0.767,0.8109230537088921,20
20,2.4689311805001778e-05,0.7485,0.8405758260364367,23,0.752,0.8144850803502314,20
21,2.226993679272482e-05,0.6815,0.8333286700376449,19,0.752,0.8144850803502314,20
22,2.005741734564026e-05,0.7815,0.8554527747199338,20,0.752,0.8144850803502314,20
23,1.815404989176983e-05,0.681,0.8453199377311404,19,0.752,0.816290378037062,20
24,1.6395709691661153e-05,0.768,0.8496361920594663,19,0.752,0.816290378037062,20
25,1.4869408104374316e-05,0.7835,0.8399516731972209,20,0.752,0.816290378037062,20
26,1.3453924374715598e-05,0.7335,0.8286814097068324,21,0.7535,0.8149091884361849,20
27,1.2217008597517065e-05,0.7645,0.8382237158912533,18,0.7145,0.8005385003426866,20
28,1.1084879486054077e-05,0.7375,0.8337680977360351,21,0.715,0.8007407307957028,20
29,1.00726722990796e-05,0.769,0.8297502200482325,21,0.7145,0.8005037081134205,20
30,9.18496346219655e-06,0.7695,0.8469576077330031,19,0.7175,0.8043885187663684,20
31,8.34000296290327e-06,0.728,0.8360629500606549,20,0.7195,0.8049702796647373,20
32,7.604210076248563e-06,0.798,0.8416981027128595,22,0.7195,0.8054559003407555,20
33,6.885818758046725e-06,0.7295,0.831295989145461,20,0.7175,0.804312935268968,20
34,6.290177470358315e-06,0.798,0.8455374158186123,20,0.716,0.8037137160362179,20
35,5.728377615263902e-06,0.759,0.8429509215653803,18,0.7195,0.8049702796647373,20
36,5.198842869269526e-06,0.79,0.8705162265169961,20,0.757,0.8205366504320785,20
37,4.7198080541654974e-06,0.6815,0.8243290827062261,20,0.652,0.7620565365731551,20
38,4.2988812209809875e-06,0.7455,0.8343179829019771,21,0.652,0.762448993117651,20
39,3.908794705591578e-06,0.7475,0.8551056178501677,19,0.652,0.762448993117651,20
40,3.5634389625305295e-06,0.689,0.837156115621268,22,0.732,0.7988208081732898,20
41,3.2426031395349497e-06,0.7225,0.8230940384968736,19,0.694,0.7825126150334786,20
42,2.957258648192962e-06,0.695,0.8302262318903738,18,0.7425,0.7930335356017775,20
43,2.691915261738842e-06,0.723,0.8411381620519169,19,0.7425,0.793129650885969,20
44,2.4422948561797496e-06,0.734,0.8475190051497925,19,0.7415,0.7949358503578734,20
45,2.2238886740177934e-06,0.7095,0.8363867251502449,19,0.7415,0.7949358503578734,20
46,2.0175138718214748e-06,0.761,0.8377225425866199,22,0.7415,0.7949358503578734,20
47,1.8343840750811857e-06,0.729,0.8374319111865732,19,0.741,0.7930607059713237,20
48,1.6752809180342609e-06,0.772,0.8424177052074969,23,0.684,0.7883698382336872,20
49,1.518859179039378e-06,0.7225,0.8646662125638475,18,0.6965,0.794097157652504,20
50,1.3809521519170254e-06,0.739,0.8213783027448792,22,0.6965,0.794097157652504,20
