trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.793,0.8549920471197882,11.0,0.758,0.7500805988752408,10.0
1,0.792,0.8244730596106473,12.0,0.712,0.7194051134566593,10.0
2,0.786,0.8507778778868291,12.0,0.84,0.7797667009144454,10.0
3,0.782,0.8115822817233344,9.0,0.748,0.7396662434924927,10.0
4,0.676,0.7420317298230009,8.0,0.724,0.7211734534258104,10.0
Average,0.7658,0.8167713992327199,10.4,0.7564,0.7420184220329297,10.0
