Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,747,161,42,8,2.0
2,760,146,41,7,2.0
3,763,156,42,9,2.0
4,764,165,43,10,2.0
5,757,148,37,7,
6,767,167,44,11,2.0
7,770,159,41,10,2.0
8,767,164,46,10,2.0
9,763,161,47,10,3.0
10,766,159,44,9,2.0
11,769,160,43,10,4.0
12,773,163,43,9,3.0
13,768,161,40,10,3.0
14,754,160,40,11,3.0
15,761,162,42,13,2.0
16,763,157,42,11,3.0
17,769,155,41,9,2.0
18,770,168,44,11,3.0
19,770,165,43,9,3.0
20,767,155,35,10,2.0
21,771,157,42,8,2.0
22,771,168,43,10,2.0
23,763,162,47,12,4.0
24,767,161,43,10,4.0
25,773,166,39,9,3.0
26,768,157,39,8,3.0
27,775,162,40,9,2.0
28,769,161,42,10,4.0
29,768,151,37,7,2.0
30,762,162,38,7,
31,759,155,39,8,3.0
32,762,158,42,10,2.0
33,764,158,41,10,4.0
34,769,155,38,9,
35,764,161,40,8,2.0
36,766,155,38,8,2.0
37,764,158,37,8,2.0
38,771,152,39,5,2.0
39,768,158,42,9,2.0
40,770,156,41,10,2.0
41,764,161,41,10,2.0
42,761,159,41,9,3.0
43,764,163,42,11,2.0
44,764,164,43,10,4.0
45,764,154,39,9,3.0
46,765,164,42,8,2.0
47,768,158,41,9,3.0
48,758,149,43,9,3.0
49,764,169,48,9,2.0
50,761,161,40,8,
