Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5
1,579,121,30,8,2.0,
2,599,130,37,13,5.0,2.0
3,603,133,35,9,2.0,
4,595,128,38,9,3.0,
5,618,133,39,12,3.0,
6,617,131,40,10,3.0,
7,582,115,27,8,2.0,
8,575,114,34,8,,
9,579,119,34,7,,
10,576,122,32,7,,
11,573,127,32,8,,
12,570,125,32,7,2.0,
13,568,118,31,8,2.0,
14,586,127,34,10,3.0,
15,581,132,34,9,3.0,
16,580,121,32,9,3.0,
17,581,122,33,7,2.0,
18,580,128,32,7,,
19,579,129,34,10,3.0,
20,581,116,30,8,,
21,585,115,30,9,2.0,
22,576,125,35,8,2.0,
23,579,122,33,8,2.0,
24,578,123,30,5,2.0,
25,581,121,32,10,,
26,572,119,30,9,2.0,
27,577,128,33,9,3.0,
28,583,121,29,7,2.0,
29,583,119,31,7,2.0,
30,580,129,32,8,2.0,
31,581,130,33,7,2.0,
32,583,123,33,9,2.0,
33,583,130,32,7,2.0,
34,583,115,30,8,2.0,
35,580,132,34,8,3.0,
36,583,123,33,11,2.0,
37,584,124,34,11,4.0,
38,581,119,31,9,3.0,
39,582,134,35,8,3.0,
40,584,124,30,6,,
41,576,122,32,8,2.0,
42,581,121,35,9,2.0,
43,584,124,32,8,2.0,
44,579,126,33,9,2.0,
45,582,129,36,8,2.0,
46,582,128,33,7,,
47,574,124,33,7,2.0,
48,584,125,32,9,3.0,
49,582,121,30,8,2.0,
50,578,118,27,8,3.0,
