Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,587,128,32,10,2.0
2,596,134,32,8,3.0
3,606,128,33,5,2.0
4,615,137,35,9,
5,613,137,32,7,
6,593,126,32,7,2.0
7,595,146,36,9,2.0
8,588,137,38,7,2.0
9,600,137,35,7,3.0
10,594,136,38,7,2.0
11,598,134,38,7,2.0
12,596,140,37,10,2.0
13,601,132,34,8,3.0
14,583,134,37,9,3.0
15,604,140,32,9,2.0
16,604,138,37,9,2.0
17,604,134,38,6,2.0
18,601,134,34,6,2.0
19,600,131,31,8,2.0
20,593,141,39,10,3.0
21,592,134,33,9,2.0
22,595,136,33,7,2.0
23,598,135,38,8,2.0
24,595,131,39,11,3.0
25,595,131,35,8,3.0
26,595,130,35,8,3.0
27,595,137,35,9,2.0
28,600,131,28,8,3.0
29,599,136,36,8,2.0
30,593,134,37,8,2.0
31,599,137,37,8,3.0
32,597,142,34,7,2.0
33,590,126,33,7,3.0
34,591,124,35,9,3.0
35,599,132,37,9,3.0
36,598,141,40,7,2.0
37,593,130,30,7,2.0
38,598,132,37,9,2.0
39,600,133,37,9,2.0
40,596,136,36,8,3.0
41,595,136,35,8,2.0
42,590,127,32,7,3.0
43,594,137,38,6,3.0
44,596,131,32,8,3.0
45,597,135,35,8,2.0
46,592,126,34,8,2.0
47,594,129,32,7,3.0
48,598,130,36,10,2.0
49,595,128,34,7,2.0
50,598,144,39,11,3.0
