Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5
1,596,131,36,10,2.0,
2,608,140,36,9,,
3,618,137,34,8,3.0,
4,607,128,32,7,2.0,
5,611,135,30,7,2.0,
6,608,124,34,8,3.0,
7,610,128,30,7,,
8,607,131,33,8,2.0,
9,605,138,35,8,3.0,
10,608,135,36,7,,
11,609,137,36,6,3.0,
12,606,135,33,7,2.0,
13,603,130,33,10,3.0,
14,613,133,36,8,3.0,
15,610,131,35,8,3.0,
16,611,140,35,10,2.0,
17,610,137,37,9,3.0,
18,613,127,32,10,3.0,
19,606,132,38,12,4.0,2.0
20,611,135,38,9,4.0,
21,616,141,37,10,3.0,
22,609,127,31,8,3.0,
23,607,133,36,7,2.0,
24,602,130,33,9,3.0,
25,604,134,36,11,2.0,
26,604,125,31,6,,
27,602,137,38,11,3.0,
28,610,129,38,7,2.0,
29,606,138,39,10,3.0,
30,606,133,37,10,2.0,
31,609,128,40,11,3.0,
32,604,136,37,10,3.0,
33,610,136,37,7,2.0,
34,612,129,38,10,3.0,
35,613,134,31,9,2.0,
36,608,139,40,12,2.0,
37,607,136,36,8,3.0,
38,614,136,38,10,4.0,
39,605,135,37,10,3.0,
40,608,137,35,9,3.0,
41,606,131,38,7,2.0,
42,608,136,39,11,3.0,
43,613,130,36,10,3.0,
44,614,135,34,6,,
45,614,132,38,11,3.0,
46,608,131,35,9,2.0,
47,608,133,35,8,2.0,
48,619,135,38,9,3.0,
49,615,139,36,9,,
50,615,127,36,10,3.0,
