Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,202,45,12,6,4.0
2,219,48,15,4,3.0
3,211,46,13,3,2.0
4,205,43,14,6,3.0
5,202,41,9,3,
6,205,38,9,4,
7,208,45,11,3,2.0
8,209,44,10,3,2.0
9,207,45,10,3,2.0
10,206,44,13,4,
11,207,43,11,4,
12,204,45,13,4,
13,208,45,11,3,
14,203,44,9,3,
15,203,43,11,4,
16,201,44,10,4,
17,202,45,12,4,
18,200,43,11,4,
19,198,45,9,3,
20,200,44,10,3,
21,200,42,10,2,
22,204,41,10,4,
23,198,43,10,4,
24,202,43,11,5,
25,199,45,8,3,
26,208,42,9,4,
27,202,42,8,3,
28,201,42,8,3,
29,201,42,8,3,
30,201,42,8,3,
31,202,42,8,3,
32,202,42,8,3,
33,202,42,8,3,
34,202,42,8,3,
35,202,42,8,3,
36,202,42,8,3,
37,202,42,8,3,
38,202,42,8,3,
39,202,42,8,3,
40,202,42,8,3,
41,202,42,8,3,
42,202,42,8,3,
43,202,42,8,3,
44,202,42,8,3,
45,202,42,8,3,
46,202,42,8,3,
47,202,42,8,3,
48,202,42,8,3,
49,202,42,8,3,
50,202,42,8,3,
