Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,214,55,12,3.0,
2,194,42,12,3.0,
3,205,44,11,4.0,3.0
4,204,45,13,4.0,
5,201,43,9,4.0,2.0
6,205,45,14,,
7,207,50,16,4.0,
8,199,48,12,3.0,
9,207,44,12,2.0,
10,211,52,13,4.0,
11,206,46,12,3.0,2.0
12,203,43,11,2.0,
13,203,44,12,3.0,
14,206,41,12,5.0,2.0
15,203,45,13,5.0,2.0
16,206,44,12,4.0,2.0
17,209,48,12,4.0,2.0
18,202,47,14,5.0,2.0
19,199,45,13,4.0,2.0
20,203,45,13,4.0,2.0
21,202,43,12,4.0,
22,203,44,12,5.0,2.0
23,203,44,12,5.0,2.0
24,203,44,12,5.0,2.0
25,203,44,12,5.0,2.0
26,203,44,12,5.0,2.0
27,203,44,12,5.0,2.0
28,203,44,12,5.0,2.0
29,203,44,12,5.0,2.0
30,203,44,12,5.0,2.0
31,203,44,12,5.0,2.0
32,203,44,12,5.0,2.0
33,203,44,12,5.0,2.0
34,203,44,12,5.0,2.0
35,203,44,12,5.0,2.0
36,203,44,12,5.0,2.0
37,203,44,12,5.0,2.0
38,203,44,12,5.0,2.0
39,203,44,12,5.0,2.0
40,203,44,12,5.0,2.0
41,203,44,12,5.0,2.0
42,203,44,12,5.0,2.0
43,203,44,12,5.0,2.0
44,203,44,12,5.0,2.0
45,203,44,12,5.0,2.0
46,203,44,12,5.0,2.0
47,203,44,12,5.0,2.0
48,203,44,12,5.0,2.0
49,203,44,12,5.0,2.0
50,203,44,12,5.0,2.0
