Epoch,Loss,FINCH_ACC,FINCH_NMI,FINCH_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Clusters
1,0.5967441340872996,0.78,0.8499588887569297,10,0.82,0.8289058678205504,10
2,0.14396313336782313,0.787,0.8338009933275549,13,0.884,0.8570103731484197,10
3,0.10731961973300982,0.799,0.8602401191540784,13,0.834,0.8333726141684374,10
4,0.09243067799920573,0.66,0.8214705407476123,12,0.882,0.8390183076168183,10
5,0.10352081538575521,0.757,0.8541991841790482,15,0.673,0.7707643661964046,10
6,0.10657371702617234,0.775,0.8501184749130615,12,0.836,0.8215298719840344,10
7,0.058562764085439575,0.752,0.8314258700887486,11,0.814,0.8354190492971085,10
8,0.08631344911881311,0.719,0.8140293689622753,14,0.765,0.7915914499128217,10
9,0.038498087211524576,0.782,0.8422968266161391,11,0.719,0.7882607364664516,10
10,0.09417712096769944,0.779,0.8269385299920755,13,0.815,0.8121807535187957,10
11,0.0723652806579145,0.681,0.8069636561954651,14,0.875,0.8253634001240626,10
12,0.0717769584393707,0.692,0.8119899715091449,13,0.806,0.800579781442561,10
13,0.05424351820207072,0.751,0.8310439299572662,12,0.812,0.8029926763174672,10
14,0.03707860574118091,0.739,0.8400658870739257,12,0.792,0.8063630290712583,10
15,0.059118293932433084,0.81,0.834703671994808,12,0.619,0.7224020205942204,10
16,0.05850798864954296,0.785,0.8156469714407404,12,0.683,0.7501787628787867,10
17,0.05654377774139454,0.693,0.793215176483834,11,0.793,0.7891009663012815,10
18,0.05496200933754731,0.747,0.8002161445238547,14,0.634,0.7129657450019005,10
19,0.059869347646418165,0.824,0.8287567059589253,12,0.707,0.7407221456198861,10
20,0.08340322027151366,0.793,0.8329595092978117,13,0.783,0.7866841164349985,10
21,0.06524432644833186,0.838,0.8439447024820094,12,0.692,0.7516198699679133,10
22,0.024006878598559715,0.771,0.8316125860813719,12,0.732,0.7618230524474863,10
23,0.011021398481813716,0.773,0.8539308296643886,12,0.796,0.7796873824903527,10
24,0.01814887801224062,0.756,0.8420064890520447,12,0.854,0.794452367540859,10
25,0.009501784898783899,0.674,0.8011964394529968,12,0.78,0.7690720357707869,10
26,0.028582439149056317,0.829,0.8409129545403927,12,0.848,0.788272045100403,10
27,0.0968339860064025,0.75,0.8350851966842514,12,0.783,0.7788952740901862,10
28,0.0851409764668029,0.809,0.8595495627025954,11,0.781,0.7743562013441583,10
29,0.03949977641883353,0.719,0.8297554739940619,9,0.846,0.781319666547937,10
30,0.040220500626379656,0.787,0.8614136405810674,11,0.774,0.7715772846532575,10
31,0.038731836482885584,0.755,0.8485607473323729,12,0.738,0.7351479101121314,10
32,0.05550530902310869,0.797,0.863983880394861,11,0.828,0.7618642819623391,10
33,0.024591840716787213,0.676,0.8237815814393982,10,0.793,0.776092359269213,10
34,0.023383371142266227,0.767,0.8499563596649015,12,0.84,0.7723171362476737,10
35,0.005422903272064374,0.784,0.8528654869613501,11,0.787,0.7775415911023958,10
36,0.00966469954209615,0.787,0.8653563120671997,11,0.598,0.6941064650016235,10
37,0.07894920912858594,0.75,0.846882983030337,11,0.667,0.7403419363439034,10
38,0.06916092586450984,0.774,0.8501251845012253,11,0.738,0.7351891996397644,10
39,0.04478369348805861,0.697,0.8167242046524541,10,0.782,0.7674953685608378,10
40,0.019162432395742352,0.676,0.8237887231067347,11,0.824,0.7593694149415795,10
41,0.02196404851755801,0.78,0.8439219933359132,11,0.637,0.7228287320762697,10
42,0.0008925787236132556,0.745,0.8253413949072109,12,0.636,0.7213114586493783,10
43,0.051319399493720504,0.723,0.8333771983301452,13,0.77,0.7700063202477204,10
44,0.023218819673263072,0.782,0.8421969606716296,11,0.722,0.7619573652283405,10
45,0.04824418274681502,0.78,0.8400345307447278,11,0.713,0.7418036292297803,10
46,0.06603502833577893,0.797,0.8411767107216629,13,0.749,0.7468953847074944,10
47,0.03414033095907247,0.822,0.8411545146592534,12,0.729,0.7694788803163695,10
48,0.011243608447452478,0.793,0.8606165521121052,11,0.784,0.7735534097357889,10
49,0.004209792383806409,0.793,0.8549920471197882,11,0.759,0.7512304238263237,10
50,2.898365817490976e-05,0.793,0.8549920471197882,11,0.758,0.7500805988752408,10
