Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,393,84,23,4,2.0
2,382,80,20,5,
3,399,83,21,4,2.0
4,399,89,27,6,2.0
5,405,88,21,5,2.0
6,396,92,25,7,2.0
7,394,86,21,4,
8,401,79,22,4,2.0
9,398,82,20,4,
10,395,82,21,5,
11,396,89,23,6,2.0
12,394,83,18,3,
13,398,87,21,5,2.0
14,396,88,20,4,
15,401,83,19,4,
16,394,78,22,5,2.0
17,392,83,19,4,2.0
18,394,91,21,4,
19,396,86,21,5,
20,399,86,23,5,2.0
21,395,83,19,4,
22,397,82,20,4,
23,400,84,19,5,2.0
24,398,78,19,4,
25,394,84,20,4,
26,402,85,21,4,
27,395,79,18,4,
28,397,80,21,5,
29,398,82,21,6,2.0
30,405,90,19,4,
31,398,87,20,4,2.0
32,397,84,22,4,
33,402,83,20,4,
34,396,85,20,4,
35,397,84,18,4,
36,394,86,20,5,
37,396,82,20,4,2.0
38,395,80,21,5,
39,400,87,19,4,
40,403,85,22,5,
41,394,85,19,4,2.0
42,397,85,18,3,
43,398,84,19,4,
44,402,81,19,5,2.0
45,395,85,19,4,2.0
46,404,90,22,4,
47,398,85,19,5,2.0
48,396,86,23,4,
49,398,86,18,4,
50,398,82,22,6,3.0
