Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,204,39,10,4.0,
2,201,34,10,5.0,
3,205,35,9,3.0,2.0
4,205,34,9,,
5,201,35,10,4.0,
6,210,39,10,4.0,2.0
7,206,40,10,4.0,2.0
8,206,32,12,3.0,2.0
9,207,33,9,3.0,
10,200,39,10,2.0,
11,203,33,10,3.0,
12,206,36,12,3.0,
13,202,37,12,2.0,
14,203,34,12,2.0,
15,203,37,11,2.0,
16,198,31,10,,
17,196,33,11,2.0,
18,194,36,9,,
19,195,37,10,,
20,195,37,10,,
21,195,37,10,,
22,195,37,10,,
23,195,37,10,,
24,195,37,10,,
25,195,37,10,,
26,195,37,10,,
27,195,37,10,,
28,195,37,10,,
29,195,37,10,,
30,195,37,10,,
31,195,37,10,,
32,195,37,10,,
33,195,37,10,,
34,195,37,10,,
35,195,37,10,,
36,195,37,10,,
37,195,37,10,,
38,195,37,10,,
39,195,37,10,,
40,195,37,10,,
41,195,37,10,,
42,195,37,10,,
43,195,37,10,,
44,195,37,10,,
45,195,37,10,,
46,195,37,10,,
47,195,37,10,,
48,195,37,10,,
49,195,37,10,,
50,195,37,10,,
