Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,433,96,28,6,
2,444,102,29,9,2.0
3,437,101,29,8,3.0
4,431,97,28,10,2.0
5,428,91,25,7,3.0
6,425,95,25,7,2.0
7,436,101,22,5,
8,427,91,22,6,2.0
9,433,98,25,7,2.0
10,428,95,25,8,2.0
11,425,95,24,6,2.0
12,428,97,29,9,2.0
13,431,97,26,8,2.0
14,438,101,25,6,2.0
15,435,95,23,6,
16,440,100,26,7,2.0
17,439,98,28,9,2.0
18,440,100,29,8,3.0
19,436,97,25,6,2.0
20,437,98,26,8,2.0
21,439,99,27,9,2.0
22,441,101,28,7,2.0
23,437,101,26,8,2.0
24,439,97,27,7,2.0
25,438,103,31,10,2.0
26,439,97,26,7,
27,439,96,24,7,2.0
28,434,98,27,8,2.0
29,439,99,26,6,
30,439,94,27,7,2.0
31,436,104,29,8,2.0
32,438,100,25,8,2.0
33,434,102,30,10,2.0
34,444,99,26,8,3.0
35,442,105,26,8,2.0
36,440,99,26,7,2.0
37,440,106,31,9,3.0
38,437,98,28,8,3.0
39,440,96,29,9,2.0
40,439,101,25,6,2.0
41,440,97,28,7,2.0
42,436,99,27,9,3.0
43,441,102,26,7,2.0
44,443,96,25,7,2.0
45,439,97,25,7,
46,438,100,26,6,
47,434,100,27,7,2.0
48,438,99,25,8,3.0
49,441,94,25,7,3.0
50,441,96,29,9,2.0
