trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.748,0.8169371023757666,22.0,0.72,0.7422663211769681,20.0
1,0.792,0.8732309602580351,25.0,0.731,0.7817599564093104,20.0
2,0.78,0.8736379763297085,28.0,0.7595,0.7850961625314277,20.0
3,0.7305,0.858345862813447,22.0,0.705,0.7822861885862364,20.0
4,0.764,0.8696105057940976,24.0,0.6165,0.749900005379546,20.0
Average,0.7629000000000001,0.8583524815142111,24.2,0.7064,0.7682617268166977,20.0
