Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,842,164,42,9,2.0
2,834,166,40,8,
3,825,168,40,9,2.0
4,830,184,44,10,2.0
5,838,174,39,7,3.0
6,835,171,45,9,3.0
7,838,183,45,11,2.0
8,835,171,44,8,2.0
9,839,172,42,10,2.0
10,840,175,42,9,2.0
11,839,174,43,9,2.0
12,849,183,49,11,3.0
13,848,193,48,7,2.0
14,842,183,45,8,2.0
15,834,171,43,8,3.0
16,842,175,45,12,3.0
17,842,181,43,9,2.0
18,849,178,46,9,3.0
19,847,187,43,7,
20,840,174,45,10,2.0
21,842,175,44,9,3.0
22,844,174,43,8,3.0
23,842,185,47,10,3.0
24,840,180,45,10,3.0
25,836,173,42,9,2.0
26,841,175,37,8,2.0
27,847,190,47,8,3.0
28,842,181,44,12,3.0
29,843,179,45,11,3.0
30,834,179,41,9,2.0
31,837,182,44,8,2.0
32,840,176,46,7,3.0
33,833,173,47,9,3.0
34,837,174,43,9,3.0
35,832,174,46,10,3.0
36,828,170,41,9,3.0
37,839,176,44,8,3.0
38,825,176,42,9,3.0
39,840,171,44,10,3.0
40,840,177,42,8,3.0
41,826,177,46,9,3.0
42,826,180,40,10,3.0
43,829,178,43,8,2.0
44,829,181,45,10,3.0
45,831,177,44,9,4.0
46,836,165,43,9,3.0
47,827,179,42,10,3.0
48,830,177,42,9,3.0
49,832,166,41,8,2.0
50,832,174,40,7,
