Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,629,146,34,11,2.0
2,634,143,32,9,2.0
3,651,142,34,9,2.0
4,650,153,37,11,3.0
5,634,135,31,4,
6,632,136,34,4,
7,633,135,33,4,
8,626,131,33,8,2.0
9,641,137,33,4,
10,631,150,38,8,2.0
11,630,141,35,7,
12,633,137,34,7,
13,631,140,35,5,
14,634,140,36,7,
15,636,138,36,7,2.0
16,636,139,33,7,2.0
17,637,139,39,7,
18,634,143,38,9,3.0
19,633,139,36,6,
20,632,141,36,4,
21,632,148,36,8,2.0
22,636,131,32,6,
23,633,137,33,5,
24,632,136,39,7,
25,634,134,33,7,2.0
26,639,137,36,6,
27,628,137,34,7,
28,638,143,41,9,2.0
29,634,133,35,7,2.0
30,634,136,33,4,
31,629,140,35,8,
32,629,135,35,8,2.0
33,634,131,35,7,2.0
34,636,139,38,8,
35,633,131,38,6,2.0
36,638,141,37,6,
37,637,141,35,6,
38,630,136,33,5,
39,638,143,35,6,2.0
40,632,141,35,8,2.0
41,631,139,37,7,2.0
42,637,142,36,6,
43,636,137,36,6,
44,633,143,38,11,3.0
45,637,141,39,9,2.0
46,632,132,31,4,
47,632,135,35,5,
48,637,134,36,8,
49,633,140,36,7,2.0
50,635,136,37,6,
