Epoch,Loss,FINCH_ACC,FINCH_NMI,FINCH_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Clusters
1,0.5264553875722586,0.887,0.9023459271622944,11,0.93,0.8875167163254946,10
2,0.11503237691073158,0.79,0.880982124256955,11,0.931,0.8934841808604709,10
3,0.06584977605424105,0.87,0.9127845839499157,12,0.833,0.8658052177229799,10
4,0.04464352943593955,0.826,0.8849949146957171,10,0.794,0.8531764257096706,10
5,0.18990515095471544,0.895,0.9056254962171869,12,0.902,0.8636282732185431,10
6,0.10822209832795271,0.875,0.9049037976318467,12,0.891,0.8628500665161849,10
7,0.05585095491874767,0.808,0.886260109349047,11,0.849,0.8588549193298403,10
8,0.06744652830058236,0.863,0.8829483843823192,11,0.819,0.8434080955323511,10
9,0.06722066620164759,0.851,0.8879824838298735,13,0.764,0.8186578854730775,10
10,0.062314527699165956,0.941,0.91977348589531,10,0.758,0.8013922200894507,10
11,0.07096056800043099,0.871,0.8995345633943367,12,0.822,0.8494310028774773,10
12,0.054470861998596486,0.916,0.9026268752391596,10,0.836,0.8586663962295312,10
13,0.05208281308681474,0.871,0.9030113573845686,12,0.757,0.8167678320435761,10
14,0.07874541058984473,0.849,0.9012947507937761,13,0.827,0.8465858959414474,10
15,0.03515233482523741,0.926,0.9236735923858388,11,0.854,0.8621205223505178,10
16,0.008179091127558715,0.886,0.9156349966774417,12,0.821,0.8229093962113118,10
17,0.06167612192740609,0.897,0.9141618253646004,12,0.845,0.8265887941983171,10
18,0.03539661242235503,0.889,0.891153446210155,11,0.884,0.8393082694168448,10
19,0.04974426972295895,0.916,0.9183731870814537,11,0.685,0.7795660265318094,10
20,0.054106093690692705,0.951,0.9265477343685881,10,0.878,0.8345200757114623,10
21,0.04491764923090819,0.845,0.9056470197725863,10,0.835,0.8456961538352465,10
22,0.08275791087285002,0.955,0.9325471393585665,10,0.838,0.8296310527751319,10
23,0.08540743699176077,0.901,0.9162787759492165,13,0.834,0.8384599624060365,10
24,0.04235113283727778,0.908,0.9135976484820457,12,0.812,0.8096789340220307,10
25,0.017119832644504052,0.888,0.911828452226605,12,0.814,0.807973913072291,10
26,0.0022911452053690764,0.879,0.9076585688196722,13,0.815,0.8247095255496024,10
27,0.028800859763207422,0.885,0.9082187318103669,13,0.819,0.8169243038743002,10
28,0.034635163177580724,0.879,0.9034512659925383,13,0.719,0.7854853895702342,10
29,0.014967728168250084,0.84,0.8913511794728601,13,0.813,0.8275455540939575,10
30,0.014120975359315493,0.839,0.8912213592558056,13,0.883,0.8355246807521979,10
31,0.016866696854216916,0.875,0.8997319694759319,13,0.693,0.781770154673673,10
32,0.0013018957401823305,0.854,0.8872178792567865,13,0.795,0.8336794084055285,10
33,0.0018445809120069606,0.877,0.9034350496314755,12,0.725,0.7899776667497767,10
34,0.06435258151863621,0.878,0.8924869189656504,12,0.859,0.80678620352249,10
35,0.19213560517811556,0.918,0.9129913484371694,11,0.819,0.8121730693119591,10
36,0.09475336086895046,0.879,0.900543062891419,11,0.687,0.7687553290429118,10
37,0.04400137741549998,0.956,0.9336644459985028,10,0.77,0.7918344227726166,10
38,0.032906987501304774,0.953,0.9300843467725233,10,0.652,0.7593687900925075,10
39,0.014116593323887568,0.913,0.9230883327944625,11,0.811,0.8017416534962065,10
40,0.0016828665630408202,0.914,0.923229156173127,11,0.838,0.8137402076361898,10
41,0.005440246171236347,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
42,2.442967842215166e-07,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
43,1.8765848551815434e-07,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
44,1.5299238981564456e-07,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
45,1.2897404310236422e-07,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
46,1.1107276995919503e-07,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
47,9.657005581847667e-08,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
48,8.404982197681958e-08,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
49,7.422039671491757e-08,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
50,6.606212730381094e-08,0.913,0.9230883327944625,11,0.811,0.802773688895238,10
