Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,830,172,39,6,2.0
2,839,179,45,9,3.0
3,830,176,46,10,3.0
4,818,172,44,10,3.0
5,834,177,49,11,3.0
6,829,180,43,12,3.0
7,836,173,40,10,3.0
8,838,173,46,12,4.0
9,820,171,44,11,3.0
10,815,178,47,13,3.0
11,838,177,39,8,2.0
12,852,174,38,9,3.0
13,842,166,40,7,2.0
14,852,185,40,7,2.0
15,850,173,40,8,2.0
16,855,176,43,9,2.0
17,847,174,39,11,3.0
18,840,176,39,8,3.0
19,844,178,43,8,2.0
20,847,182,45,10,2.0
21,847,181,43,11,
22,849,183,44,12,3.0
23,842,184,50,11,3.0
24,854,179,40,10,2.0
25,827,182,46,11,2.0
26,836,173,39,9,2.0
27,823,181,45,10,2.0
28,827,182,42,8,2.0
29,827,173,46,10,3.0
30,829,164,41,11,4.0
31,833,176,45,11,2.0
32,850,189,45,11,3.0
33,840,181,43,10,3.0
34,848,186,44,8,3.0
35,846,182,45,8,3.0
36,843,186,47,10,2.0
37,851,185,47,13,4.0
38,844,191,44,14,4.0
39,842,187,51,9,3.0
40,840,186,43,9,3.0
41,835,178,38,8,2.0
42,850,186,46,13,3.0
43,850,190,50,9,3.0
44,841,177,40,8,2.0
45,846,182,47,11,
46,844,185,43,11,4.0
47,843,187,40,10,4.0
48,842,182,47,10,2.0
49,845,177,43,10,3.0
50,847,185,51,10,3.0
