Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,420,88,22,5,2.0
2,433,89,23,5,
3,434,99,25,6,2.0
4,423,101,23,6,2.0
5,431,92,21,5,
6,438,100,19,5,2.0
7,433,98,20,3,
8,439,91,21,5,
9,433,100,20,4,
10,431,90,18,4,
11,431,96,18,4,
12,431,98,21,5,
13,431,96,21,5,
14,430,91,18,4,
15,434,99,23,6,
16,432,98,21,5,
17,436,95,20,4,
18,434,95,21,5,
19,430,99,20,5,
20,431,91,19,3,
21,434,95,22,6,
22,432,97,20,4,
23,433,94,20,5,
24,431,98,22,6,
25,430,96,20,4,
26,432,93,21,5,
27,432,98,21,6,
28,427,90,21,4,
29,430,93,18,3,
30,429,96,18,3,
31,433,96,21,6,
32,431,94,19,3,
33,433,91,19,4,
34,430,96,22,5,
35,430,94,17,3,
36,429,96,22,6,
37,437,99,21,4,
38,429,97,21,5,
39,432,100,24,8,
40,431,99,23,5,2.0
41,428,99,21,3,
42,433,89,19,4,
43,426,95,20,4,
44,429,100,20,3,
45,432,92,20,4,
46,435,95,19,5,
47,430,97,22,6,
48,434,98,20,4,
49,427,97,20,4,
50,427,98,20,3,
