Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,804,177,39,9,3.0
2,810,180,52,13,3.0
3,814,170,40,10,3.0
4,812,176,39,9,2.0
5,811,183,41,8,
6,813,172,42,9,2.0
7,819,177,39,10,2.0
8,813,169,41,9,2.0
9,819,179,44,10,
10,811,182,42,9,2.0
11,816,172,33,8,2.0
12,820,175,41,9,2.0
13,818,176,38,9,2.0
14,813,184,43,10,2.0
15,821,184,42,11,2.0
16,818,179,37,10,
17,817,177,41,10,2.0
18,827,188,42,13,3.0
19,817,175,39,8,2.0
20,816,189,44,10,
21,821,173,42,11,4.0
22,816,191,45,12,2.0
23,819,177,41,10,2.0
24,824,180,38,10,2.0
25,824,183,43,11,2.0
26,819,172,38,8,2.0
27,810,176,44,11,
28,818,184,45,9,2.0
29,819,180,41,10,
30,815,181,41,8,
31,819,178,36,11,
32,814,174,40,7,
33,818,175,35,8,2.0
34,822,186,36,8,
35,821,181,39,12,2.0
36,820,170,38,8,
37,822,186,41,9,3.0
38,824,175,39,10,2.0
39,820,178,38,9,
40,824,186,45,11,3.0
41,820,182,39,6,2.0
42,815,184,44,10,3.0
43,815,185,41,8,
44,820,187,45,10,3.0
45,822,182,37,8,2.0
46,821,177,35,9,2.0
47,807,183,39,9,2.0
48,827,179,40,9,
49,812,179,42,11,4.0
50,821,175,42,13,3.0
