Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,417,89,22,5,2.0
2,437,96,22,3,
3,439,92,26,4,
4,429,91,22,4,
5,428,85,26,5,
6,432,91,27,7,
7,423,96,25,9,
8,421,92,24,5,
9,438,99,27,4,
10,439,95,23,4,
11,441,96,24,3,
12,430,93,26,4,
13,421,90,25,5,
14,435,87,28,4,
15,429,95,27,5,
16,437,94,27,5,
17,437,88,22,2,
18,433,89,26,6,
19,431,93,25,3,
20,432,94,25,6,
21,429,93,26,4,
22,435,87,26,5,2.0
23,434,93,25,4,
24,435,91,25,5,
25,435,89,26,6,
26,435,94,27,6,2.0
27,435,95,27,5,
28,431,93,23,5,
29,434,90,23,3,
30,439,91,26,4,
31,434,92,25,7,
32,433,91,24,3,
33,432,87,24,4,
34,435,91,25,6,
35,437,90,24,4,
36,437,92,26,5,
37,433,91,25,4,
38,435,89,25,6,
39,433,93,26,5,
40,438,93,25,5,
41,436,89,26,5,
42,434,93,22,5,
43,435,93,27,7,2.0
44,440,94,29,7,
45,438,89,23,4,
46,440,87,24,5,
47,437,89,25,4,
48,434,87,24,4,
49,432,89,28,6,
50,432,88,24,4,
