trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.845,0.8541179451999074,11.0,0.787,0.8091346385756759,10.0
1,0.608,0.7660043691124371,14.0,0.685,0.763305666665727,10.0
2,0.82,0.8727696126068841,10.0,0.877,0.840359150456819,10.0
3,0.86,0.8833523682755264,12.0,0.74,0.7539068626609444,10.0
4,0.868,0.8901821630702175,12.0,0.847,0.8279740544407889,10.0
Average,0.8001999999999999,0.8532852916529945,11.8,0.7872000000000001,0.798936074559991,10.0
