trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.913,0.9230883327944625,11.0,0.811,0.802773688895238,10.0
1,0.774,0.8725296730477222,14.0,0.621,0.6990808302188652,10.0
2,0.892,0.8915112004221714,10.0,0.786,0.8059867690128091,10.0
3,0.857,0.8782605569108707,12.0,0.78,0.7813459085100758,10.0
4,0.723,0.814950315047896,14.0,0.658,0.6562803815214693,10.0
Average,0.8318,0.8760680156446246,12.2,0.7312000000000001,0.7490935156316916,10.0
