Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,650,134,35,9,2.0
2,656,140,40,12,2.0
3,641,139,34,7,
4,650,157,38,9,3.0
5,651,142,38,9,
6,647,148,42,9,2.0
7,658,139,35,7,2.0
8,649,143,34,8,2.0
9,657,142,37,6,2.0
10,641,140,39,11,2.0
11,638,142,38,8,
12,633,133,40,7,
13,643,139,41,9,
14,635,140,39,11,2.0
15,638,140,37,7,
16,641,141,38,6,
17,636,140,39,9,2.0
18,634,134,40,8,
19,637,137,36,6,
20,634,140,40,11,2.0
21,636,132,36,9,2.0
22,637,139,38,9,2.0
23,633,137,38,7,2.0
24,634,138,37,11,
25,632,130,38,10,
26,640,144,39,9,2.0
27,636,138,40,7,2.0
28,627,137,41,9,2.0
29,633,140,38,8,
30,638,141,35,7,
31,641,142,40,10,
32,639,142,39,9,
33,636,139,40,9,
34,638,138,38,10,2.0
35,640,145,39,8,
36,634,133,38,7,
37,639,140,38,9,
38,634,140,40,8,2.0
39,642,138,40,9,2.0
40,643,143,44,11,
41,640,143,39,9,
42,635,140,42,9,2.0
43,637,138,36,8,2.0
44,639,134,40,8,
45,639,136,37,8,
46,634,136,36,7,2.0
47,640,136,38,8,
48,633,135,37,9,
49,637,134,38,10,
50,634,138,38,7,
