Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,442,96,26,8,
2,455,98,24,7,
3,451,102,23,7,
4,446,94,21,6,
5,445,94,21,4,
6,456,96,26,8,
7,455,99,27,9,2.0
8,441,95,28,9,
9,428,85,22,8,2.0
10,430,94,24,5,
11,435,88,27,6,
12,430,94,24,5,
13,436,86,24,6,2.0
14,442,89,24,5,
15,435,80,23,7,2.0
16,441,97,25,8,2.0
17,438,85,23,6,
18,440,90,24,8,2.0
19,441,91,27,8,2.0
20,438,89,22,7,2.0
21,442,92,26,6,2.0
22,438,95,25,6,
23,436,93,23,6,
24,440,89,24,6,
25,440,90,25,6,
26,440,88,24,8,
27,442,98,26,6,
28,441,93,27,7,
29,435,89,25,7,
30,436,89,21,6,
31,438,90,22,6,
32,434,92,26,6,
33,437,89,26,7,
34,440,90,22,7,
35,438,93,25,6,
36,439,97,25,5,
37,437,92,26,8,
38,440,93,25,7,
39,440,92,20,6,
40,437,89,24,8,
41,444,90,23,6,
42,441,91,25,5,
43,440,92,24,7,
44,441,87,26,8,
45,439,93,26,6,
46,438,91,23,8,
47,440,90,23,6,
48,441,95,26,5,
49,440,96,25,7,2.0
50,441,90,26,7,2.0
