Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5
1,829,175,46,11,2.0,
2,830,178,43,11,4.0,
3,848,178,39,9,2.0,
4,840,172,42,13,3.0,
5,839,179,43,11,3.0,
6,844,179,48,14,5.0,
7,850,192,47,14,3.0,
8,847,195,51,14,3.0,
9,844,199,54,16,4.0,2.0
10,853,202,49,15,3.0,
11,851,192,50,12,3.0,
12,861,195,52,13,4.0,
13,851,195,53,15,3.0,
14,851,196,52,14,4.0,
15,852,190,50,12,2.0,
16,844,196,51,15,3.0,
17,845,195,48,11,3.0,
18,854,194,50,11,2.0,
19,854,194,52,14,3.0,
20,860,200,54,13,2.0,
21,851,190,52,13,2.0,
22,857,187,41,11,3.0,
23,846,197,50,12,4.0,
24,845,196,48,14,2.0,
25,850,196,52,12,3.0,
26,851,191,51,14,4.0,
27,852,197,48,15,4.0,2.0
28,856,196,49,15,3.0,
29,847,210,52,12,2.0,
30,847,204,50,12,3.0,
31,852,198,54,13,,
32,855,198,51,12,3.0,
33,855,201,51,12,3.0,
34,850,197,52,14,3.0,
35,857,201,53,13,2.0,
36,853,197,49,13,3.0,
37,854,195,49,12,3.0,
38,850,191,55,17,3.0,
39,856,198,47,12,2.0,
40,852,198,54,16,4.0,
41,848,193,49,12,3.0,
42,856,186,48,13,2.0,
43,854,197,51,14,3.0,
44,858,191,48,10,2.0,
45,854,195,54,17,5.0,2.0
46,858,194,49,14,2.0,
47,853,191,47,13,2.0,
48,852,202,49,14,2.0,
49,855,192,50,12,2.0,
50,860,195,46,10,2.0,
