Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,668,147,35,10,3.0
2,663,157,41,10,2.0
3,664,153,37,9,2.0
4,673,145,39,11,3.0
5,684,152,36,10,3.0
6,688,153,36,10,3.0
7,680,147,36,8,2.0
8,661,141,33,7,
9,664,141,34,8,
10,667,150,41,11,2.0
11,660,141,33,8,2.0
12,672,147,36,10,
13,665,150,35,6,
14,659,148,33,6,2.0
15,660,144,31,8,2.0
16,663,142,32,5,
17,668,149,32,7,
18,667,150,31,7,3.0
19,664,146,33,8,
20,664,154,35,8,
21,665,149,34,7,2.0
22,665,149,35,6,
23,662,153,34,7,2.0
24,665,142,33,6,
25,668,152,36,11,2.0
26,664,144,33,8,2.0
27,660,143,31,7,2.0
28,665,149,34,9,3.0
29,669,147,34,6,
30,664,149,35,6,2.0
31,664,154,39,12,2.0
32,663,146,34,7,
33,662,146,35,8,2.0
34,663,151,32,5,
35,661,153,34,8,2.0
36,666,146,35,6,
37,664,148,31,5,
38,662,149,34,9,2.0
39,664,146,35,7,2.0
40,667,147,38,9,2.0
41,668,145,35,8,
42,664,147,35,6,
43,667,148,36,7,
44,663,149,39,10,2.0
45,666,154,37,9,2.0
46,666,152,39,9,2.0
47,663,141,34,8,3.0
48,666,145,31,7,2.0
49,667,139,36,7,2.0
50,664,146,30,7,2.0
