Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,648,135,40,10,3.0
2,642,140,39,7,2.0
3,626,140,37,8,3.0
4,645,140,37,8,3.0
5,635,130,39,10,2.0
6,629,139,34,6,
7,631,134,37,9,2.0
8,648,130,37,9,2.0
9,643,138,36,7,2.0
10,643,133,39,11,
11,635,138,34,7,
12,643,138,38,9,2.0
13,642,133,34,8,2.0
14,642,133,40,9,2.0
15,646,132,36,7,2.0
16,644,132,36,10,
17,639,129,37,9,2.0
18,644,138,37,9,2.0
19,641,135,37,10,2.0
20,643,136,35,9,2.0
21,642,131,37,10,2.0
22,637,127,36,9,
23,645,139,41,13,2.0
24,640,131,38,10,
25,644,138,33,9,
26,643,136,42,12,
27,641,134,40,12,3.0
28,639,132,37,10,2.0
29,641,129,34,9,
30,646,142,41,13,3.0
31,639,131,34,8,
32,647,135,34,9,
33,640,137,37,10,2.0
34,640,129,35,8,2.0
35,645,132,33,9,
36,648,142,41,8,
37,643,134,40,10,2.0
38,636,129,34,7,2.0
39,640,132,30,6,2.0
40,642,136,31,9,2.0
41,641,127,35,10,
42,643,125,35,8,2.0
43,639,138,38,11,
44,641,136,37,9,2.0
45,645,133,34,9,
46,645,133,36,10,2.0
47,646,138,34,9,
48,640,125,31,8,
49,646,136,37,10,2.0
50,639,133,38,12,2.0
