Epoch,Loss,FINCH_ACC,FINCH_NMI,FINCH_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Clusters
1,0.5461223213703233,0.854,0.8916124461332624,10,0.777,0.8388860109649319,10
2,0.11761860056643501,0.779,0.8743300623594151,10,0.808,0.8487624862232809,10
3,0.11499125198357094,0.797,0.8423914622693998,9,0.806,0.8424825125205618,10
4,0.10926302643536528,0.708,0.8105158434879849,9,0.825,0.8490081009744216,10
5,0.08443286741264201,0.798,0.8454033430027714,10,0.802,0.8308624993573449,10
6,0.05548658345321871,0.727,0.842107846728395,10,0.888,0.8491375844917595,10
7,0.059587906938803406,0.834,0.8876794824937572,10,0.897,0.854108202895565,10
8,0.12974097722694677,0.777,0.8327582358553207,12,0.887,0.8479364791532089,10
9,0.04408454313195154,0.762,0.8278248568821841,9,0.796,0.8241038754115175,10
10,0.0625022744892114,0.774,0.8387737061080741,10,0.874,0.8396401440645223,10
11,0.05770972973574095,0.855,0.8927501246844733,10,0.889,0.8438971512838922,10
12,0.04736196892865838,0.867,0.8820939911594347,12,0.785,0.8118814534108345,10
13,0.04304068839775746,0.837,0.8724192676536923,12,0.808,0.8205765777230621,10
14,0.036718590163423964,0.851,0.8810206123313596,12,0.885,0.8365445889009946,10
15,0.06542280162998751,0.841,0.8816035345911829,11,0.788,0.8131763868735693,10
16,0.09301344013125691,0.842,0.8907947210226989,10,0.805,0.822500684155898,10
17,0.043928370620928935,0.873,0.8892698812335857,11,0.831,0.8130224048837384,10
18,0.04041692358215356,0.806,0.8327154814955562,9,0.795,0.8183403802545227,10
19,0.014823843256788953,0.892,0.8915112004221714,10,0.832,0.8338113730712061,10
20,4.237919992127269e-05,0.892,0.8915112004221714,10,0.799,0.8217366029287195,10
21,6.372093723234444e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
22,5.306313265608025e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
23,4.536699394964481e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
24,3.953406180275865e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
25,3.4724901625091573e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
26,3.077892473617441e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
27,2.744622973767443e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
28,2.4580724354533544e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
29,2.2137475881911422e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
30,1.995247502313626e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
31,1.8037673505015281e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
32,1.6354255229852887e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
33,1.4817547737308917e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
34,1.3445966381863395e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
35,1.2234701524897387e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
36,1.1101891655532944e-06,0.892,0.8915112004221714,10,0.786,0.8053396998438709,10
37,1.0069353749676534e-06,0.892,0.8915112004221714,10,0.784,0.8043804784703974,10
38,9.15918513143387e-07,0.892,0.8915112004221714,10,0.784,0.8043804784703974,10
39,8.313598844309135e-07,0.892,0.8915112004221714,10,0.784,0.8043804784703974,10
40,7.550442620314524e-07,0.892,0.8915112004221714,10,0.784,0.8043804784703974,10
41,6.855836007731728e-07,0.892,0.8915112004221714,10,0.784,0.8043804784703974,10
42,6.212784980990803e-07,0.892,0.8915112004221714,10,0.784,0.8043804784703974,10
43,5.638002717093802e-07,0.892,0.8915112004221714,10,0.784,0.8043804784703974,10
44,5.112226976784619e-07,0.892,0.8915112004221714,10,0.786,0.8059867690128091,10
45,4.6232769170285637e-07,0.892,0.8915112004221714,10,0.786,0.8059867690128091,10
46,4.1955153261311905e-07,0.892,0.8915112004221714,10,0.786,0.8059867690128091,10
47,3.790698796901975e-07,0.892,0.8915112004221714,10,0.786,0.8059867690128091,10
48,3.4334736195207496e-07,0.892,0.8915112004221714,10,0.786,0.8059867690128091,10
49,3.0960779593143975e-07,0.892,0.8915112004221714,10,0.786,0.8059867690128091,10
50,2.808540554714112e-07,0.892,0.8915112004221714,10,0.786,0.8059867690128091,10
