Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,435,88,21,5,
2,439,93,23,6,
3,434,97,24,7,2.0
4,434,94,24,7,3.0
5,428,101,25,8,3.0
6,431,95,21,5,2.0
7,429,109,23,5,
8,428,101,21,6,2.0
9,430,96,20,5,
10,429,99,21,5,
11,431,99,22,5,
12,432,105,25,7,2.0
13,427,102,26,7,2.0
14,432,97,22,5,
15,429,102,22,5,
16,426,102,21,5,
17,430,95,24,6,2.0
18,429,97,21,5,
19,430,100,22,7,2.0
20,429,97,22,5,
21,429,103,24,4,
22,429,102,21,6,
23,428,94,20,5,
24,434,100,23,5,
25,430,104,23,4,
26,430,100,23,6,
27,433,105,23,5,
28,433,103,20,5,
29,428,97,22,5,
30,432,99,21,5,
31,433,90,23,6,2.0
32,431,97,19,4,
33,426,99,21,5,
34,433,99,22,5,
35,429,92,18,4,
36,430,97,20,4,
37,428,104,23,5,
38,430,101,20,5,
39,425,97,22,4,
40,429,107,20,4,
41,426,101,20,4,
42,432,99,21,5,
43,427,97,21,4,
44,430,97,21,4,
45,435,98,23,5,
46,431,101,22,6,
47,437,108,24,8,2.0
48,432,102,21,5,
49,431,103,22,5,
50,428,103,24,5,
