Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,809,173,48,9,3.0
2,801,178,48,9,3.0
3,824,184,45,9,3.0
4,836,183,46,7,3.0
5,843,184,47,8,2.0
6,852,187,47,11,3.0
7,838,184,41,8,
8,843,190,47,10,2.0
9,839,176,43,7,2.0
10,839,189,41,7,2.0
11,848,186,43,11,3.0
12,830,186,52,12,2.0
13,827,180,41,7,3.0
14,831,185,47,8,2.0
15,838,186,44,7,2.0
16,839,191,48,10,2.0
17,835,180,42,7,2.0
18,841,186,39,7,2.0
19,836,180,44,8,3.0
20,831,180,46,10,3.0
21,833,189,48,13,4.0
22,831,182,44,12,4.0
23,832,187,43,10,3.0
24,830,183,45,9,2.0
25,839,182,44,10,3.0
26,834,182,50,10,2.0
27,830,183,46,10,3.0
28,831,197,47,11,4.0
29,826,181,45,9,3.0
30,834,179,46,10,3.0
31,836,179,49,10,2.0
32,823,182,45,7,2.0
33,827,178,47,9,2.0
34,829,177,43,12,5.0
35,823,166,40,5,2.0
36,821,175,43,8,2.0
37,829,183,46,10,2.0
38,830,175,47,10,3.0
39,829,174,47,11,4.0
40,833,184,48,10,3.0
41,830,173,44,7,3.0
42,830,188,44,9,2.0
43,825,186,45,11,2.0
44,832,184,45,9,
45,828,182,43,10,3.0
46,842,178,43,7,
47,826,188,46,7,2.0
48,825,169,44,6,2.0
49,840,180,40,8,2.0
50,835,186,50,13,4.0
